"Final version: March 17, 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Supplemental Appendix 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data used for Figure 2 in Kirchman. 2016.   Growth rates of microbes in the oceans. Annual Review of Marine Science, v.8  doi: 10.1146/annurev-marine-122414-033938",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Growth Rates of Heterotrophic Bacteria Estimated by the Leucine-Biomass Approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I used production and biomass data as reported in the paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If necessary, the following conversion factors were used:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C/cell,10 fgC/cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,leucine conversion,1.5 kgC/mole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Conversion factors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Growth,Leucine ,C per cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Region,Dates,Lat,Lon,Rate (/d),kgC/mol,fgC/cell,Comments,Reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Barents Sea,,75,31,0.06,3.10,15.00,,"Howard-Jones, M. H., V. D. Ballard, A. E. Allen, M. E. Frischer, and P. G. Verity. 2002. Distribution of bacterial biomass and activity in the marginal ice zone of the central Barents Sea during summer. Journal of Marine Systems 38: 77-91.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Catalan Sea,Jan 2003-March 2004,,,0.14,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Alonso-Saez, L., E. Vazquez-Dominguez, C. Cardelus, J. Pinhassi, M. M. Sala, I. Lekunberri, V. Balague, M. Vila-Costa, F. Unrein, R. Massana, R. Simo, and J. M. Gasol. 2008. Factors controlling the year-round variability in carbon flux through bacteria in a coastal marine system. Ecosystems 11: 397-409.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea, 25 May 2007,,,0.10,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Ortega-Retuerta, E., C. Duarte, and I. Reche. 2010. Significance of Bacterial Activity for the Distribution and Dynamics of Transparent Exopolymer Particles in the Mediterranean Sea. Microbial. Ecol. 59: 808-818.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Mar/95,,,0.13,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., M. Goutx, L. Striby, R. Sempére, and F. Vidussi. 2001. Bacterial dynamics during the transition from spring bloom to oligotrophy in the northwestern Mediterranean Sea: relationships with particulate detritus and dissolved organic matter. Mar. Ecol. Prog. Ser. 212: 89-105.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Mar/95,,,0.08,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., M. Goutx, L. Striby, R. Sempére, and F. Vidussi. 2001. Bacterial dynamics during the transition from spring bloom to oligotrophy in the northwestern Mediterranean Sea: relationships with particulate detritus and dissolved organic matter. Mar. Ecol. Prog. Ser. 212: 89-105.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Sep/95,,,0.04,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., M. Goutx, L. Striby, R. Sempére, and F. Vidussi. 2001. Bacterial dynamics during the transition from spring bloom to oligotrophy in the northwestern Mediterranean Sea: relationships with particulate detritus and dissolved organic matter. Mar. Ecol. Prog. Ser. 212: 89-105.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Sep/95,,,0.05,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Van Wambeke, F., M. Goutx, L. Striby, R. Sempére, and F. Vidussi. 2001. Bacterial dynamics during the transition from spring bloom to oligotrophy in the northwestern Mediterranean Sea: relationships with particulate detritus and dissolved organic matter. Mar. Ecol. Prog. Ser. 212: 89-105.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Sep/97,,,0.11,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Christaki, U., F. Van Wambeke, and J. R. Dolan. 1999. Nanoflagellates (mixotrophs, heterotrophs and autotrophs) in the oligotrophic eastern Mediterranean: standing stocks, bacterivory and relationships with bacterial production. Mar. Ecol. Prog. Ser. 181: 297-307.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Cretan Sea,Sep/97,,,0.10,1.50,10.00,Taken from Pulido-Villena et al. 2012,"Christaki, U., F. Van Wambeke, and J. R. Dolan. 1999. Nanoflagellates (mixotrophs, heterotrophs and autotrophs) in the oligotrophic eastern Mediterranean: standing stocks, bacterivory and relationships with bacterial production. Mar. Ecol. Prog. Ser. 181: 297-307.",,,,,,,,,,,,,,,,,,,,,,,,,,,
Disko Bay,,69,-53,0.35,1.95,Used biovol*,,"Moller, E. F., and T. G. Nielsen. 2000. Plankton community structure and carbon cycling off the western coast of Greenland, with emphasis on sources of DOM for the bacterial community. Aquat. Microb. Ecol. 22: 13-25.",,,,,,,,,,,,,,,,,,,,,,,,,,,
